Date,Open,High,Low,Close,Adj Close,Volume
9/8/2005,54.82,56.74,54.6,55.24,55.24,12689.4
9/9/2005,55.88,56.1,55.24,55.67,55.67,7489.9
9/12/2005,56.74,57.59,56.31,56.95,56.95,11139.6
9/13/2005,57.59,58.44,56.95,56.95,56.95,11515
9/14/2005,56.95,57.38,55.03,56.31,56.31,5673.7
9/15/2005,55.46,56.31,55.03,55.88,55.88,3986.9
9/16/2005,56.31,57.38,55.88,56.74,56.74,12135.5
9/19/2005,57.59,58.02,56.74,58.02,58.02,7057.2
9/20/2005,58.02,61.64,57.38,61,61,17074.6
9/21/2005,61,63.13,59.93,59.93,59.93,20716.9
9/22/2005,59.51,61,58.87,59.29,59.29,10736.8
9/23/2005,58.87,59.51,56.74,58.66,58.66,11083
9/26/2005,59.51,60.36,58.87,59.72,59.72,8073.5
9/27/2005,59.72,60.57,58.02,60.57,60.57,9150.4
9/28/2005,60.57,61.21,59.08,59.08,59.08,10751.8
9/29/2005,57.59,59.08,56.95,59.08,59.08,16902.8
9/30/2005,59.08,59.93,59.08,59.29,59.29,8300.8
10/3/2005,59.93,62.07,59.29,61.21,61.21,15065.5
10/4/2005,61.85,62.71,61,61.85,61.85,15243.8
10/5/2005,62.28,63.56,61.43,62.28,62.28,16501.6
10/6/2005,61.85,62.71,61,62.71,62.71,7704
10/7/2005,62.92,63.35,62.07,62.07,62.07,6440.4
10/10/2005,NA,NA,NA,62.07,62.07,NA
10/11/2005,62.71,63.13,62.28,62.28,62.28,3635.4
10/12/2005,61.85,62.28,59.93,60.79,60.79,6718.1
10/13/2005,60.36,61,57.8,59.08,59.08,9248.2
10/14/2005,60.15,60.15,57.8,58.02,58.02,7696
10/17/2005,58.02,58.66,55.88,56.31,56.31,10042.8
10/18/2005,56.31,57.16,55.03,55.46,55.46,10511
10/19/2005,53.32,54.18,51.83,53.32,53.32,18320.8
10/20/2005,53.75,55.67,53.75,55.67,55.67,12313.2
10/21/2005,54.6,56.74,54.6,55.67,55.67,8174.2
10/24/2005,55.88,56.31,53.96,53.96,53.96,6890.4
10/25/2005,55.24,55.24,53.75,53.75,53.75,13788.6
10/26/2005,53.75,53.96,51.19,52.47,52.47,11282.8
10/27/2005,51.62,53.32,51.4,53.32,53.32,9016.3
10/28/2005,53.11,53.75,52.47,53.32,53.32,6096.4
10/31/2005,53.75,55.67,53.75,55.67,55.67,7088.3
11/1/2005,56.31,56.95,55.88,56.31,56.31,10133.2
11/2/2005,57.16,57.16,56.1,56.31,56.31,7689.8
11/3/2005,56.74,56.95,56.31,56.52,56.52,6143.5
11/4/2005,56.95,58.02,56.95,57.8,57.8,10750.8
11/7/2005,57.59,57.8,54.39,55.46,55.46,7771.5
11/8/2005,54.6,55.88,54.6,55.88,55.88,5189.7
11/9/2005,55.46,57.59,55.24,57.16,57.16,8363.7
11/10/2005,57.8,60.36,57.16,59.72,59.72,20801.9
11/11/2005,61,62.92,60.57,62.49,62.49,21257.1
11/14/2005,63.13,65.27,61.85,64.84,64.84,24594.9
11/15/2005,64.84,64.84,63.13,63.99,63.99,12268.6
11/16/2005,64.2,68.47,64.2,66.76,66.76,27733.5
11/17/2005,67.19,67.4,65.48,66.12,66.12,10653.2
11/18/2005,66.97,68.04,64.84,65.27,65.27,17732.4
11/21/2005,66.12,66.76,64.2,64.2,64.2,12285.9
11/22/2005,64.63,65.05,63.77,63.77,63.77,8714.7
11/23/2005,64.2,64.63,61.43,63.56,63.56,13187.1
11/24/2005,63.13,65.05,62.71,64.41,64.41,10265.8
11/25/2005,65.05,66.97,64.84,65.05,65.05,12277.2
11/28/2005,65.91,67.61,65.48,66.33,66.33,14997.5
11/29/2005,66.97,67.19,65.27,65.27,65.27,9547.1
11/30/2005,65.91,66.97,65.48,66.55,66.55,13839.9
12/1/2005,66.55,66.97,65.91,65.91,65.91,6697.8
12/2/2005,67.19,67.83,66.12,67.19,67.19,12261.5
12/5/2005,68.25,71.88,68.04,71.88,71.88,20782.1
12/6/2005,71.67,71.88,69.53,70.39,70.39,10809.9
12/7/2005,70.17,70.81,67.4,69.53,69.53,14613.2
12/8/2005,69.53,70.39,67.83,68.04,68.04,8685.7
12/9/2005,69.11,69.53,67.83,68.25,68.25,8043.1
12/12/2005,66.33,66.55,63.56,64.41,64.41,16276.6
12/13/2005,64.41,65.69,63.35,64.63,64.63,12317.5
12/14/2005,64.84,65.91,64.41,64.84,64.84,5774.3
12/15/2005,64.84,65.69,64.41,65.69,65.69,4294.9
12/16/2005,66.55,68.04,66.33,66.97,66.97,12068.2
12/19/2005,68.25,69.11,67.19,67.19,67.19,7449.9
12/20/2005,67.19,68.04,66.97,66.97,66.97,7393.6
12/21/2005,67.19,69.96,67.19,68.89,68.89,14588
12/22/2005,69.53,69.96,68.47,68.89,68.89,7543.7
12/23/2005,69.11,69.53,67.83,69.53,69.53,6695.1
12/26/2005,69.96,69.96,68.47,68.47,68.47,5572.2
12/27/2005,68.47,70.17,68.47,68.89,68.89,10673.2
12/28/2005,68.89,70.81,68.68,69.53,69.53,8711.1
12/29/2005,70.39,72.09,69.53,70.17,70.17,17419.8
12/30/2005,71.03,71.03,69.53,69.75,69.75,15230.3
